event_id,event_type,model,depth,start_time_ms,end_time_ms,duration_ms,stall_time_ms,triggered_by
0,lm_call,Policy,0,22.234,493.091,470.857,0.000,
1,rm_call,Value,0,493.382,1366.638,873.256,0.000,60
2,lm_call,Policy,0,1367.074,1792.940,425.866,0.000,
3,rm_call,Value,0,1793.188,2025.710,232.522,0.000,60
4,lm_call,Policy,0,2026.050,2659.035,632.986,0.000,
5,rm_call,Value,0,2659.196,2896.912,237.717,0.000,60
6,lm_call,Policy,0,2897.359,3090.459,193.100,0.000,
7,rm_call,Value,0,3090.562,3342.632,252.070,0.000,60
8,lm_call,Policy,0,3348.494,3916.116,567.622,0.000,
9,rm_call,Value,0,3916.501,4125.448,208.947,0.000,60
10,lm_call,Policy,0,4125.946,4893.164,767.219,0.000,
11,rm_call,Value,0,4893.273,5140.954,247.681,0.000,60
12,lm_call,Policy,0,5141.335,5471.247,329.912,0.000,
13,rm_call,Value,0,5471.352,5728.545,257.193,0.000,60
14,lm_call,Policy,0,5728.921,6384.240,655.319,0.000,
15,rm_call,Value,0,6384.363,6630.952,246.589,0.000,60
16,lm_call,Policy,0,6631.299,6710.951,79.652,0.000,
17,rm_call,Value,0,6711.040,6906.190,195.151,0.000,60
18,lm_call,Policy,0,6906.518,7712.929,806.411,0.000,
19,rm_call,Value,0,7713.041,7869.242,156.202,0.000,60
20,lm_call,Policy,0,7869.565,7971.560,101.995,0.000,
21,rm_call,Value,0,7971.680,8236.421,264.741,0.000,60
22,lm_call,Policy,0,8236.805,9083.174,846.370,0.000,
23,rm_call,Value,0,9083.275,9390.523,307.249,0.000,60
24,lm_call,Policy,0,9390.901,10053.862,662.960,0.000,
25,rm_call,Value,0,10054.000,10458.196,404.196,0.000,60
26,lm_call,Policy,0,10458.636,11250.559,791.923,0.000,
27,rm_call,Value,0,11250.721,11698.160,447.439,0.000,60
28,lm_call,Policy,0,11698.618,11989.953,291.335,0.000,
29,rm_call,Value,0,11990.070,12424.239,434.169,0.000,60
30,lm_call,Policy,0,12424.597,12884.327,459.730,0.000,
31,rm_call,Value,0,12884.492,13248.764,364.272,0.000,60
32,lm_call,Policy,0,13586.615,14053.174,466.559,0.000,
33,rm_call,Value,0,14053.334,14260.072,206.738,0.000,60
34,lm_call,Policy,0,14260.442,14628.108,367.666,0.000,
35,rm_call,Value,0,14628.229,14786.005,157.776,0.000,60
36,lm_call,Policy,0,14786.391,15086.939,300.548,0.000,
37,rm_call,Value,0,15087.064,15222.089,135.025,0.000,60
38,lm_call,Policy,0,15222.474,15314.063,91.589,0.000,
39,rm_call,Value,0,15314.189,15447.770,133.582,0.000,60
40,lm_call,Policy,0,15448.041,15774.827,326.786,0.000,
41,rm_call,Value,0,15774.945,15915.116,140.171,0.000,60
42,lm_call,Policy,0,15915.411,16010.890,95.479,0.000,
43,rm_call,Value,0,16011.000,16149.267,138.267,0.000,60
44,lm_call,Policy,0,16149.577,16456.800,307.223,0.000,
45,rm_call,Value,0,16456.943,16634.110,177.167,0.000,60
46,lm_call,Policy,0,16634.445,16832.748,198.303,0.000,
47,rm_call,Value,0,16832.880,17093.531,260.650,0.000,60
48,lm_call,Policy,0,17093.897,17310.411,216.514,0.000,
49,rm_call,Value,0,17310.538,17462.429,151.891,0.000,60
50,lm_call,Policy,0,17462.700,17763.693,300.993,0.000,
51,rm_call,Value,0,17763.836,18084.070,320.234,0.000,60
52,lm_call,Policy,0,18084.593,18304.518,219.925,0.000,
53,rm_call,Value,0,18304.647,18505.436,200.790,0.000,60
54,lm_call,Policy,0,18505.778,18591.928,86.151,0.000,
55,rm_call,Value,0,18592.082,18843.191,251.109,0.000,60
56,lm_call,Policy,0,18843.497,19248.753,405.255,0.000,
57,rm_call,Value,0,19248.869,19459.466,210.596,0.000,60
58,lm_call,Policy,0,19466.276,19718.102,251.826,0.000,
59,rm_call,Value,0,19718.317,19931.385,213.068,0.000,60
60,lm_call,Policy,0,19931.802,20059.909,128.107,0.000,
61,rm_call,Value,0,20060.020,20213.610,153.589,0.112,60
