2026-01-24 17:23:08 | INFO | reward_model_worker | args: Namespace(host='127.0.0.1', port=10081, worker_address='http://127.0.0.1:10081', controller_address='http://127.0.0.1:10014', model_path='/scratch/msa6093/models/Math-Shepherd-PRM-7B', revision='main', device='cuda', gpus=None, num_gpus=1, max_gpu_memory=None, dtype=None, load_8bit=False, cpu_offloading=False, gptq_ckpt=None, gptq_wbits=16, gptq_groupsize=-1, gptq_act_order=False, awq_ckpt=None, awq_wbits=16, awq_groupsize=-1, enable_exllama=False, exllama_max_seq_len=4096, exllama_gpu_split=None, exllama_cache_8bit=False, enable_xft=False, xft_max_seq_len=4096, xft_dtype=None, model_names=None, conv_template=None, embed_in_truncate=False, limit_worker_concurrency=5, stream_interval=2, no_register=False, seed=None, debug=False, ssl=False, good_tag='+', bad_tag='-', prm_step_tag='ки\n', prm_format_str='{question} {answer}')
2026-01-24 17:23:08 | INFO | reward_model_worker | Loading the model ['/scratch/msa6093/models/Math-Shepherd-PRM-7B'] on worker f7bb809c ...
2026-01-24 17:23:08 | ERROR | stderr | Traceback (most recent call last):
2026-01-24 17:23:08 | ERROR | stderr |   File "/scratch/msa6093/.conda/envs/tts/lib/python3.10/site-packages/transformers/utils/hub.py", line 403, in cached_file
2026-01-24 17:23:08 | ERROR | stderr |     resolved_file = hf_hub_download(
2026-01-24 17:23:08 | ERROR | stderr |   File "/scratch/msa6093/.conda/envs/tts/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py", line 106, in _inner_fn
2026-01-24 17:23:08 | ERROR | stderr |     validate_repo_id(arg_value)
2026-01-24 17:23:08 | ERROR | stderr |   File "/scratch/msa6093/.conda/envs/tts/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py", line 154, in validate_repo_id
2026-01-24 17:23:08 | ERROR | stderr |     raise HFValidationError(
2026-01-24 17:23:08 | ERROR | stderr | huggingface_hub.errors.HFValidationError: Repo id must be in the form 'repo_name' or 'namespace/repo_name': '/scratch/msa6093/models/Math-Shepherd-PRM-7B'. Use `repo_type` argument if needed.
2026-01-24 17:23:08 | ERROR | stderr | 
2026-01-24 17:23:08 | ERROR | stderr | The above exception was the direct cause of the following exception:
2026-01-24 17:23:08 | ERROR | stderr | 
2026-01-24 17:23:08 | ERROR | stderr | Traceback (most recent call last):
2026-01-24 17:23:08 | ERROR | stderr |   File "/scratch/msa6093/.conda/envs/tts/lib/python3.10/runpy.py", line 196, in _run_module_as_main
2026-01-24 17:23:08 | ERROR | stderr |     return _run_code(code, main_globals, None,
2026-01-24 17:23:08 | ERROR | stderr |   File "/scratch/msa6093/.conda/envs/tts/lib/python3.10/runpy.py", line 86, in _run_code
2026-01-24 17:23:08 | ERROR | stderr |     exec(code, run_globals)
2026-01-24 17:23:08 | ERROR | stderr |   File "/scratch/msa6093/compute-optimal-tts/src/reason/llm_service/workers/reward_model_worker.py", line 316, in <module>
2026-01-24 17:23:08 | ERROR | stderr |     args, worker = create_model_worker()
2026-01-24 17:23:08 | ERROR | stderr |   File "/scratch/msa6093/compute-optimal-tts/src/reason/llm_service/workers/reward_model_worker.py", line 286, in create_model_worker
2026-01-24 17:23:08 | ERROR | stderr |     worker = ModelWorker(
2026-01-24 17:23:08 | ERROR | stderr |   File "/scratch/msa6093/compute-optimal-tts/src/reason/llm_service/workers/reward_model_worker.py", line 131, in __init__
2026-01-24 17:23:08 | ERROR | stderr |     self.model, self.tokenizer = load_model(
2026-01-24 17:23:08 | ERROR | stderr |   File "/scratch/msa6093/.conda/envs/tts/lib/python3.10/site-packages/fastchat/model/model_adapter.py", line 353, in load_model
2026-01-24 17:23:08 | ERROR | stderr |     model, tokenizer = adapter.load_model(model_path, kwargs)
2026-01-24 17:23:08 | ERROR | stderr |   File "/scratch/msa6093/.conda/envs/tts/lib/python3.10/site-packages/fastchat/model/model_adapter.py", line 88, in load_model
2026-01-24 17:23:08 | ERROR | stderr |     tokenizer = AutoTokenizer.from_pretrained(
2026-01-24 17:23:08 | ERROR | stderr |   File "/scratch/msa6093/.conda/envs/tts/lib/python3.10/site-packages/transformers/models/auto/tokenization_auto.py", line 858, in from_pretrained
2026-01-24 17:23:08 | ERROR | stderr |     tokenizer_config = get_tokenizer_config(pretrained_model_name_or_path, **kwargs)
2026-01-24 17:23:08 | ERROR | stderr |   File "/scratch/msa6093/.conda/envs/tts/lib/python3.10/site-packages/transformers/models/auto/tokenization_auto.py", line 690, in get_tokenizer_config
2026-01-24 17:23:08 | ERROR | stderr |     resolved_config_file = cached_file(
2026-01-24 17:23:08 | ERROR | stderr |   File "/scratch/msa6093/.conda/envs/tts/lib/python3.10/site-packages/transformers/utils/hub.py", line 469, in cached_file
2026-01-24 17:23:08 | ERROR | stderr |     raise EnvironmentError(
2026-01-24 17:23:08 | ERROR | stderr | OSError: Incorrect path_or_model_id: '/scratch/msa6093/models/Math-Shepherd-PRM-7B'. Please provide either the path to a local folder or the repo_id of a model on the Hub.
